date,home,away,market,prob,odds,ev,stake_pct,stake_amt,is_win,profit,bankroll,clv,cum_profit,peak,drawdown
2024-04-23,Arsenal,Chelsea,away,0.273,6.0,0.6380000000000001,0.031900000000000005,31.900000000000006,False,-31.900000000000006,968.1,0.0,968.1,968.1,0.0
2024-04-24,Wolves,Bournemouth,home,0.445,2.7,0.2015,0.02963235294117647,28.68708088235294,False,-28.68708088235294,939.4129191176471,0.0,939.4129191176471,968.1,-0.029632352941176443
2024-04-24,Crystal Palace,Newcastle,home,0.4494,2.75,0.23585000000000012,0.033692857142857156,31.651505281985308,True,55.39013424347429,994.8030533611214,0.0,994.8030533611213,994.8030533611213,0.0
2024-04-24,Everton,Liverpool,home,0.4498,7.0,2.1486,0.08952500000000001,89.0597433521544,True,534.3584601129264,1529.1615134740478,0.0,1529.1615134740478,1529.1615134740478,0.0
2024-04-24,Man United,Sheffield United,away,0.2687,7.5,1.01525,0.03904807692307692,59.71081640594334,False,-59.71081640594334,1469.4506970681043,0.0,1469.4506970681045,1529.1615134740478,-0.03904807692307683
2024-04-25,Brighton,Man City,home,0.4463,6.5,1.90095,0.08640681818181818,126.97055920870967,False,-126.97055920870967,1342.4801378593947,0.0,1342.4801378593947,1529.1615134740478,-0.12208087502185314
2024-04-27,Newcastle,Sheffield United,away,0.2687,11.0,1.9556999999999998,0.04889249999999999,65.63721014029045,False,-65.63721014029045,1276.8429277191044,0.0,1276.8429277191044,1529.1615134740478,-0.1650045358398471
2024-04-27,Aston Villa,Chelsea,draw,0.2735,3.8,0.03930000000000011,0.0035089285714285817,4.480350630300085,True,12.544981764840236,1289.3879094839447,0.0,1289.3879094839444,1529.1615134740478,-0.15680070540447372
2024-04-27,Everton,Brentford,home,0.4545,2.3,0.04535,0.008721153846153847,11.244950325980172,True,14.618435423774221,1304.0063449077188,0.0,1304.0063449077188,1529.1615134740478,-0.14724093340199682
2024-04-27,West Ham,Liverpool,home,0.4575,5.5,1.5162500000000003,0.08423611111111112,109.8444233592405,False,-109.8444233592405,1194.1619215484784,0.0,1194.1619215484782,1529.1615134740478,-0.21907404088695373
2024-04-27,Man United,Burnley,away,0.2667,5.5,0.46685,0.02593611111111111,30.971916281939286,False,-30.971916281939286,1163.1900052665392,0.0,1163.190005266539,1529.1615134740478,-0.23932822333206066
2024-04-27,Wolves,Luton,draw,0.2772,3.8,0.05335999999999985,0.004764285714285701,5.541769525091282,False,-5.541769525091282,1157.648235741448,0.0,1157.6482357414477,1529.1615134740478,-0.24295228101090002
2024-04-28,Bournemouth,Brighton,home,0.4718,2.25,0.061549999999999994,0.012309999999999998,14.250649781977222,True,17.813312227471528,1175.4615479689194,0.0,1175.4615479689191,1529.1615134740478,-0.23130320923495531
2024-04-28,Tottenham,Arsenal,home,0.4422,4.2,0.85724,0.066971875,78.72286385788097,False,-78.72286385788097,1096.7386841110383,0.0,1096.7386841110383,1529.1615134740478,-0.282784274618973
2024-04-28,Nott'm Forest,Man City,home,0.4384,8.0,2.5072,0.08954285714285715,98.20511531439983,False,-98.20511531439983,998.5335687966385,0.0,998.5335687966384,1529.1615134740478,-0.347005819857377
2024-05-02,Chelsea,Tottenham,away,0.5255,3.0,0.5764999999999998,0.07206249999999997,71.95682530140773,False,-71.95682530140773,926.5767434952307,0.0,926.5767434952307,1529.1615134740478,-0.3940622129639047
2024-05-03,Luton,Everton,away,0.5154,2.55,0.3142699999999998,0.050688709677419334,46.96697954487839,False,-46.96697954487839,879.6097639503523,0.0,879.6097639503523,1529.1615134740478,-0.4247764175335553
